id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28902842,Perfect apartment with pool for single or couples,23353310,Dean,,Sydney,-33.90250620102692,151.20640606896004,Entire home/apt,199,3,0,,,1,0
28903620,The Nest,49584984,Harry,,Warringah,-33.78397403991034,151.2846507207156,Private room,130,1,0,,,1,339
28904136,PAGEWOOD COMFORT MK1,213971155,Robert Kenneth,,Botany Bay,-33.93854014376421,151.21516061957138,Private room,100,1,2,2018-10-28,1.36,2,87
28905270,DJ's Tree top Ocean Views..,34220352,David,,Randwick,-33.91611220772869,151.24753735385974,Private room,100,1,0,,,1,90
28905414,Araliya (Frangipani),155822422,Viji,,The Hills Shire,-33.75010138867163,150.95172775047217,Private room,150,1,1,2018-11-17,1,1,359
28906222,CBD Apt 5Minutes Central Station with Free Parking,165297895,Sara,,Sydney,-33.88636296030414,151.20217429627473,Entire home/apt,190,3,10,2018-11-11,4.48,8,58
28906994,Modern Stylish apartment with Stunning view,169233178,Yashar,,Auburn,-33.84652319838807,151.0723911247257,Entire home/apt,251,5,0,,,1,9
28911522,Bright and spacious room in Darlington,2428086,Yvonne,,Sydney,-33.89306467923939,151.19244065602697,Private room,60,1,4,2018-11-15,2.26,1,6
28914861,Private -Large Dbl Bed room South Wentworthville,47661145,Nat,,Holroyd,-33.826122478299304,150.96550063447515,Private room,42,28,0,,,8,74
28915643,The Balcony -Glamorous Family Beach House in Bondi,39781950,Laura,,Waverley,-33.893888765141675,151.27305676848889,Entire home/apt,896,1,0,,,6,14
28915805,Leafy Beachside 1 b/r Apt - 30m to Bondi Beach,39781950,Laura,,Waverley,-33.895023452103736,151.27292452921733,Entire home/apt,170,1,6,2018-11-05,3.27,6,0
28915849,Vacation house near Epping station,31327616,Rajender,,Hornsby,-33.76822295136731,151.083085297756,Entire home/apt,120,7,0,,,1,129
28916783,Luxury private room with balcony and skyline views,10460747,Sarah,,Lane Cove,-33.804457421392755,151.14686292878434,Private room,100,1,4,2018-11-05,1.79,1,339
28917983,"Renovated Freshwater beach house, large backyard",362229,Annabelle,,Warringah,-33.77406447853381,151.27793206148573,Entire home/apt,300,5,0,,,1,10
28918890,Petersham self contained studio inner west Sydney,217987200,Deborah,,Marrickville,-33.89299538129267,151.1547095743487,Entire home/apt,109,2,10,2018-11-12,4.84,1,108
28919412,Sun-filled & quiet room by the iconic Bronte beach,10203470,Stephane,,Waverley,-33.90551077532506,151.2657642105773,Private room,97,2,4,2018-11-28,1.74,2,288
28919646,Sunny and stylish stay near Bondi & Rose Bay,1552896,Lisa,,Woollahra,-33.87332188730159,151.26116454178552,Private room,120,1,2,2018-11-04,1.28,1,148
28920819,"Sydney CBD 18mins, next to Airport, Renovated",20460243,Yeon-Woo,,Rockdale,-33.952316996132446,151.13123763456625,Entire home/apt,136,3,2,2018-10-28,1.28,2,163
28921337,CBD Apt by China Town &Darling Habour with Parking,165297895,Sara,,Sydney,-33.88644783195532,151.20133466770363,Entire home/apt,199,3,14,2018-12-02,6.27,8,54
28922000,"Nature at your backdoor, Room has a Forest view",107866247,Artik,,Ku-Ring-Gai,-33.7322356386298,151.10264513102163,Private room,40,2,4,2018-11-16,2.35,1,60
28922245,Ocean Tops Retreat,72844643,Oliver & Verena,,Pittwater,-33.642022508604505,151.3281737739988,Entire home/apt,880,4,1,2018-11-17,1,2,307
28923339,2 x Bedroom House with Private entrance,71051388,P.K.,,Warringah,-33.740324353753856,151.2335477928348,Entire home/apt,100,1,10,2018-12-03,5.45,1,233
28924417,North Parramatta Renovated 2 Bed 2 Bath Apartment,190942602,Lisa,,Parramatta,-33.80461307623915,151.00746639739685,Entire home/apt,159,1,3,2018-11-15,2.57,4,41
28924839,East Village Centre~Two Room~Free Parking,94633669,Hong,,Sydney,-33.906609053710056,151.21241994884792,Entire home/apt,190,1,1,2018-10-05,0.47,4,42
28925366,"Heart of Zetland, close to everything
Small room",53640598,Odno,,Sydney,-33.90959753582933,151.2116469773094,Private room,84,1,3,2018-11-22,2.73,2,362
28925447,Cosy studio near Harbour Bridge in Milsons Point,120316954,Elsa,,North Sydney,-33.84643794541071,151.20995999965174,Entire home/apt,300,5,0,,,1,13
28925664,"Cozy studio with harbour view, great location",23987032,Aline,,North Sydney,-33.84020147446043,151.21809669602985,Entire home/apt,300,3,0,,,3,5
28925739,悉尼大学附近公寓房短租,19881181,Yi Shu,,Sydney,-33.89198851384399,151.2006080285842,Private room,50,30,0,,,1,354
28925868,Grannyflat for Rent - Short Term or Long Term,218028246,Jessie,,Blacktown,-33.741618339798286,150.90511939659132,Entire home/apt,60,1,14,2018-12-06,6.36,1,264
28926196,悉尼CBD 全新公寓,131384860,Peter,,Sydney,-33.89815196066159,151.20117877575387,Private room,120,2,0,,,2,55
28926416,The little home / close to city / close to airport,25678018,Yiming,,Sydney,-33.908540517903596,151.20861543315868,Entire home/apt,168,1,10,2018-11-24,4.84,1,121
28926633,Sydney Apartment   3 station to Central,51414214,冯,,Rockdale,-33.93084662817336,151.1526783447082,Shared room,60,50,0,,,1,305
28926759,Modern Sydney apartment with parking,218039680,Jodee,,Sydney,-33.8774883903149,151.22104953462244,Entire home/apt,179,5,1,2018-11-12,1,1,0
28926885,Stylish Studio Apartment minutes from Sydney CBD,218030934,Paula & Jerome,,Sydney,-33.88454174964798,151.17915343757875,Entire home/apt,145,1,4,2018-11-12,2.35,1,84
28937156,Secure building with lift,218116217,Yipi,,Ashfield,-33.89039534711413,151.1204045288904,Private room,50,1,0,,,1,88
28937265,Boho-Lux Retreat on the Northern Beaches,95214788,Cushie - Concierge Services,,Warringah,-33.71372806303733,151.29714299548533,Entire home/apt,186,1,1,2018-10-28,0.73,15,10
28938234,Sunny Room bondi beach,85484589,Theresa,,Waverley,-33.891910031309315,151.27025264636046,Private room,40,1,1,2018-10-02,0.45,1,14
28939448,Victorian Style Room,121772736,Italo,,Rockdale,-33.95650761538875,151.12918655138853,Private room,35,3,2,2018-11-08,1.46,2,349
28939865,2BR Modern Nordic Living,218145783,Polly,,Canterbury,-33.90476649222546,151.1009519629969,Entire home/apt,130,7,1,2018-10-27,0.71,1,138
28940130,Bright double room with the beach on your doorstep,119775186,Lisa,,Randwick,-33.94570664541916,151.25727744322447,Private room,69,1,0,,,1,116
